Areaname,FIPS,Total_Area_sq_mi_LND010190D,LND010200D,LND110180D,LND110190D,Land_Area_sq_mi_LND110200D,LND110210D,Water_Area_sq_miLND210190D,LND210200D
"Geneva, AL",01061,578.96,578.9,577.86,576.38,576.28,574.41,2.58,2.62
"Greene, AL",01063,659.99,659.93,630.68,645.96,645.87,647.11,14.03,14.07
"Hale, AL",01065,656.52,656.47,660.71,643.78,643.74,643.94,12.74,12.74
"Henry, AL",01067,568.38,568.33,556.63,561.96,561.8,561.75,6.42,6.53
"Houston, AL",01069,581.71,581.65,577.04,580.41,580.36,579.82,1.3,1.29
"Jackson, AL",01071,1126.82,1126.77,1069.64,1078.8,1078.74,1077.87,48.02,48.02
"Jefferson, AL",01073,1123.87,1123.8,1119.08,1112.67,1112.61,1111.28,11.2,11.2
"Lamar, AL",01075,605.51,605.47,604.95,604.89,604.85,604.85,0.62,0.62
"Lauderdale, AL",01077,718.84,718.78,661.4,669.52,669.46,667.7,49.32,49.32
"Lawrence, AL",01079,718.13,718.07,693.37,693.45,693.38,690.68,24.68,24.68
"Lee, AL",01081,615.61,615.55,609.34,608.79,608.71,607.54,6.82,6.84
"Limestone, AL",01083,607.12,607.08,558.85,568.09,568.05,559.94,39.03,39.03
"Lowndes, AL",01085,725.09,725.03,714.39,718,717.94,715.91,7.09,7.1
"Macon, AL",01087,613.29,613.24,613.65,610.57,610.52,608.89,2.72,2.72
"Madison, AL",01089,812.89,812.85,805.69,804.96,804.92,801.59,7.93,7.93
"Marengo, AL",01091,982.92,982.85,981.87,977.12,977.04,976.88,5.8,5.8
"Marion, AL",01093,743.62,743.57,743.4,741.46,741.41,742.29,2.16,2.16
"Marshall, AL",01095,623.21,623.16,567.25,567.1,567.06,565.84,56.11,56.1
"Mobile, AL",01097,1644.14,1644.02,1237.96,1233.36,1233.09,1229.44,410.78,410.93
"Monroe, AL",01099,1034.62,1034.53,1019.21,1025.97,1025.85,1025.68,8.65,8.67
"Montgomery, AL",01101,799.81,799.76,793.14,789.87,789.76,784.25,9.94,9.99
"Morgan, AL",01103,599.09,599.06,575.25,582.25,582.21,579.34,16.84,16.84
"Perry, AL",01105,724.13,724.08,718.49,719.54,719.48,719.66,4.59,4.59
"Pickens, AL",01107,890.1,890.05,889.64,881.46,881.42,881.41,8.64,8.63
"Pike, AL",01109,672.15,672.1,672.23,671.09,671.03,672.09,1.06,1.06
"Randolph, AL",01111,584.15,584.11,584.48,581.09,581.05,580.55,3.06,3.06
"Russell, AL",01113,647.44,647.38,633.78,641.14,641.32,641.14,6.3,6.06
"St. Clair, AL",01115,653.66,653.61,646.06,633.99,633.75,631.9,19.67,19.86
"Shelby, AL",01117,809.6,809.53,800.48,794.92,794.69,784.93,14.68,14.83
"Sumter, AL",01119,913.35,913.3,907.12,904.98,904.94,903.89,8.37,8.37
"Talladega, AL",01121,760.32,760.25,753,739.6,739.53,736.78,20.72,20.72
"Tallapoosa, AL",01123,766.3,766.23,701.27,718.04,717.93,716.52,48.26,48.3
"Tuscaloosa, AL",01125,1352.03,1351.23,1336.28,1325.27,1324.37,1321.76,26.76,26.85
"Walker, AL",01127,805.36,805.3,803.57,794.45,794.39,791.19,10.91,10.91
"Washington, AL",01129,1088.62,1088.54,1080.82,1080.73,1080.66,1080.21,7.89,7.89
"Wilcox, AL",01131,907.54,907.46,883.14,888.76,888.68,888.5,18.78,18.78
"Winston, AL",01133,631.9,631.86,613.4,614.48,614.44,612.98,17.42,17.42
ALASKA,02000,656424.14,663267.26,570833,570373.55,571951.26,570640.95,86050.59,91316
"Aleutians East, AK",02013,15011.77,15011.6,0,6984.75,6988.14,6981.94,8027.02,8023.46
"Aleutians West, AK",02016,14114.7,14116.51,10890,4402.11,4396.77,4390.28,9712.59,9719.74
"Anchorage, AK",02020,1961.51,1961.09,1732,1697.64,1697.21,1704.68,263.87,263.88
"Bethel, AK",02050,45954.59,45508.46,36104,41087.41,40633.31,40570,4867.18,4875.15
"Bristol Bay, AK",02060,917.61,887.68,531,519.22,504.92,503.84,398.39,382.77
"Denali, AK",02068,0,12774.53,0,0,12749.65,12751.41,0,24.88
"Dillingham, AK",02070,20613.12,20928.41,46042,18466.93,18674.78,18568.78,2146.19,2253.63
"Fairbanks North Star, AK",02090,7443.68,7444.02,7404,7362.43,7366.24,7338.21,81.25,77.78
"Haines, AK",02100,2754.1,2725.82,2374,2357,2343.73,2318.6,397.1,382.09
"Hoonah-Angoon, AK",02105,17500.23,11376.73,13239,12880.62,7896.48,7524.92,4619.61,3480.25
"Juneau, AK",02110,3081.12,3255.01,2626,2593.56,2716.67,2701.93,487.56,538.34
"Kenai Peninsula, AK",02122,21664.33,24754.6,16056,16078.92,16013.26,16075.33,5585.41,8741.34
"Ketchikan Gateway, AK",02130,1743.55,1753.98,1242,1219.64,1233.22,4858.41,523.91,520.75
"Kodiak Island, AK",02150,11845.9,12023.67,4796,6462.57,6559.85,6549.58,5383.33,5463.83
"Lake and Peninsula, AK",02164,29008.24,30906.96,0,23632.32,23781.96,23652.01,5375.92,7125
"Matanuska-Susitna, AK",02170,25232.41,25259.79,24502,24693.64,24681.54,24607.9,538.77,578.25
"Nome, AK",02180,28276.17,28283.33,23871,23012.56,23000.91,22961.76,5263.61,5282.42
"North Slope, AK",02185,93823.1,94762.64,90955,87860.49,88817.12,88695.41,5962.61,5945.53
"Northwest Arctic, AK",02188,40660.96,40762,31593,35862.47,35898.34,35572.58,4798.49,4863.66
"Petersburg, AK",02195,8973.77,9021.21,5965,5808.53,5834.94,3281.98,3165.24,3186.27
"Prince of Wales-Hyder, AK",02198,12566.41,12706.3,7660,7324.47,7410.62,3922.87,5241.94,5295.67
"Sitka, AK",02220,4849.75,4811.53,2938,2881.48,2873.98,2870.34,1968.27,1937.55
"Skagway, AK",02230,0,0,0,0,0,452.33,0,0
"Southeast Fairbanks, AK",02240,26235.44,25061.19,24169,25994.11,24814.86,24768.81,241.33,246.33
"Valdez-Cordova, AK",02261,43515.67,40199.15,39229,36945.35,34319.1,34239.88,6570.32,5880.05
"Wade Hampton, AK",02270,19680.08,19669.24,17816,17124.08,17193.5,17081.43,2556,2475.74
"Wrangell, AK",02275,0,0,0,0,0,2541.48,0,0
"Yakutat, AK",02282,0,9459.28,0,0,7650.46,7649.46,0,1808.82
"Yukon-Koyukuk, AK",02290,158995.95,147842.51,159099,157121.27,145899.69,145504.79,1874.68,1942.83
ARIZONA,04000,114006.26,113998.3,113508.06,113642.26,113634.57,113594.08,364,363.73
"Apache, AZ",04001,11219.17,11218.42,11211.05,11205.68,11204.88,11197.52,13.49,13.54
"Cochise, AZ",04003,6219.32,6218.77,6218.37,6170,6169.45,6165.69,49.32,49.32
"Coconino, AZ",04005,18662.57,18661.21,18607.63,18619.14,18617.42,18618.89,43.43,43.79
"Gila, AZ",04007,4796.14,4795.74,4752.4,4768.11,4767.7,4757.93,28.03,28.03
"Graham, AZ",04009,4641.47,4641.14,4630.37,4629.64,4629.32,4622.6,11.83,11.83
"Greenlee, AZ",04011,1848.55,1848.42,1836.76,1847.13,1847,1843.13,1.42,1.42
"La Paz, AZ",04012,4513.66,4513.36,0,4499.57,4499.95,4499.63,14.09,13.4
"Maricopa, AZ",04013,9224.86,9224.27,9126.76,9204.05,9203.14,9200.14,20.81,21.13
"Mohave, AZ",04015,13470.5,13469.71,13285.33,13312.42,13311.64,13311.08,158.08,158.07
"Navajo, AZ",04017,9960.22,9959.49,9954.71,9953.8,9953.18,9950.42,6.42,6.31
"Pima, AZ",04019,9189.44,9188.83,9186.79,9187.01,9186.27,9187.04,2.43,2.57
"Pinal, AZ",04021,5374.49,5374.09,5343.34,5369.99,5369.59,5365.61,4.5,4.5
"Santa Cruz, AZ",04023,1238.22,1238.11,1238,1237.75,1237.63,1236.92,0.47,0.47
"Yavapai, AZ",04025,8128.33,8127.78,8122.52,8123.54,8123.3,8123.5,4.79,4.48
"Yuma, AZ",04027,5519.32,5518.96,9994.03,5514.43,5514.09,5513.99,4.89,4.87
ARKANSAS,05000,53182.36,53178.62,52078.24,52075.29,52068.17,52035.48,1107.07,1110.45
"Arkansas, AR",05001,1033.85,1033.79,1005.87,988.53,988.49,988.77,45.32,45.3
"Ashley, AR",05003,939.16,939.08,933.57,921.36,921.15,925.35,17.8,17.93
"Baxter, AR",05005,586.78,586.74,545.77,554.41,554.36,554.28,32.37,32.38
"Benton, AR",05007,876.82,880.24,843.47,843.31,845.99,847.36,33.51,34.25
"Boone, AR",05009,601.86,601.82,583.97,591.22,591.18,590.23,10.64,10.64
"Bradley, AR",05011,654.43,654.38,654.14,650.68,650.63,649.23,3.75,3.75
"Calhoun, AR",05013,632.59,632.54,628.49,628.33,628.27,628.58,4.26,4.27
"Carroll, AR",05015,642.33,638.81,633.96,633.79,630.27,630.09,8.54,8.54
"Chicot, AR",05017,690.93,690.88,649.41,644.07,644.03,644.3,46.86,46.86
"Clark, AR",05019,882.68,882.6,866.64,865.51,865.43,866.07,17.17,17.17
"Clay, AR",05021,641.47,641.42,640.98,639.35,639.3,639.47,2.12,2.12
"Cleburne, AR",05023,591.95,591.91,550.51,553.09,553.05,553.69,38.86,38.86
"Cleveland, AR",05025,598.84,598.8,598.66,597.75,597.74,597.78,1.09,1.06
"Columbia, AR",05027,766.94,766.86,767.1,766.19,766.11,766.05,0.75,0.75
"Conway, AR",05029,566.71,566.66,558.37,556.22,556.15,552.25,10.49,10.51
"Craighead, AR",05031,713.03,712.98,713.22,710.8,710.84,707.21,2.23,2.14
"Crawford, AR",05033,604.24,604.2,593.61,595.5,595.39,593.09,8.74,8.81
"Crittenden, AR",05035,636.73,636.69,599.35,610.49,610.17,609.76,26.24,26.52
"Cross, AR",05037,622.38,622.33,622.49,615.9,615.85,616.38,6.48,6.49
"Dallas, AR",05039,668.21,668.16,667.73,667.47,667.42,667.39,0.74,0.74
"Desha, AR",05041,819.57,819.52,746.47,765.04,764.99,768.15,54.53,54.53
"Drew, AR",05043,835.71,835.65,831.4,828.24,828.18,828.36,7.47,7.47
"Faulkner, AR",05045,664.05,664.01,645.43,647.36,647.38,647.88,16.69,16.63
"Franklin, AR",05047,619.72,619.69,608.7,609.59,609.55,608.86,10.13,10.13
"Fulton, AR",05049,620.36,620.31,616.09,618.23,618.16,618.19,2.13,2.16
"Garland, AR",05051,734.61,734.57,656.91,678.05,677.22,677.78,56.56,57.35
"Grant, AR",05053,633.06,633.01,632.97,631.83,631.78,631.81,1.23,1.23
"Greene, AR",05055,579.69,579.65,578.54,577.55,577.51,577.7,2.14,2.14
"Hempstead, AR",05057,741.42,741.36,724.53,728.85,728.77,727.52,12.57,12.59
"Hot Spring, AR",05059,622.2,622.16,615.01,614.97,614.93,615.2,7.23,7.22
"Howard, AR",05061,595.24,595.2,573.64,587.47,587.42,588.55,7.77,7.78
"Independence, AR",05063,771.64,771.57,763.42,763.85,763.78,763.95,7.79,7.79
"Izard, AR",05065,584.07,584.02,581.3,580.75,580.68,580.58,3.32,3.34
"Jackson, AR",05067,641.5,641.45,632.74,633.58,633.52,633.94,7.92,7.92
"Jefferson, AR",05069,913.75,913.7,881.9,884.79,884.82,870.75,28.96,28.88
"Johnson, AR",05071,682.78,682.74,675.57,662.21,662.17,659.8,20.57,20.57
"Lafayette, AR",05073,545.11,545.07,517.59,526.54,526.5,528.27,18.57,18.57
"Lawrence, AR",05075,592.39,592.34,589.11,586.61,586.57,587.61,5.78,5.78
"Lee, AR",05077,619.5,619.47,601.64,601.7,601.66,602.62,17.8,17.8
"Lincoln, AR",05079,572.21,572.17,562.45,561.24,561.2,561.52,10.97,10.97
"Little River, AR",05081,564.9,564.87,515.82,531.76,531.73,532.25,33.14,33.14
"Logan, AR",05083,731.55,731.5,717.17,709.92,709.87,708.13,21.63,21.63
"Lonoke, AR",05085,802.48,802.43,782.87,765.5,765.96,770.73,36.98,36.47
"Madison, AR",05087,837.13,837.06,837.47,836.96,836.81,834.26,0.17,0.25
"Marion, AR",05089,640.38,640.35,587.13,597.73,597.7,597.01,42.65,42.65
"Miller, AR",05091,637.53,637.48,619.14,624.08,623.98,625.58,13.45,13.5
"Mississippi, AR",05093,919.8,919.73,896.48,898.32,898.25,900.57,21.48,21.48
"Monroe, AR",05095,621.46,621.41,608.74,606.72,606.65,607.12,14.74,14.76
"Montgomery, AR",05097,800.34,800.29,774.46,780.97,780.93,779.88,19.37,19.36
"Nevada, AR",05099,620.83,620.78,620.45,620.01,619.95,617.84,0.82,0.83
"Newton, AR",05101,823.24,823.18,822.99,823.03,822.97,820.9,0.21,0.21
"Ouachita, AR",05103,739.7,739.63,736.83,732.52,732.45,732.78,7.18,7.18
"Perry, AR",05105,560.51,560.47,550.42,550.96,550.94,551.4,9.55,9.53
"Phillips, AR",05107,727.34,727.29,685.27,692.72,692.67,695.66,34.62,34.62
"Pike, AR",05109,613.93,613.88,598.48,603.06,603.01,600.62,10.87,10.87
"Poinsett, AR",05111,763.44,763.39,762.32,757.79,757.74,758.39,5.65,5.65
"Polk, AR",05113,862.47,862.42,860.39,859.45,859.38,857.68,3.02,3.04
"Pope, AR",05115,830.84,830.79,820.03,811.95,811.9,812.55,18.89,18.89
"Prairie, AR",05117,675.81,675.76,655.55,646,645.93,647.96,29.81,29.83
"Pulaski, AR",05119,807.91,807.84,766.82,770.95,770.82,759.76,36.96,37.02
"Randolph, AR",05121,656.08,656.04,655.99,651.87,651.82,652.19,4.21,4.21
"St. Francis, AR",05123,642.44,642.4,638.44,633.88,633.84,634.77,8.56,8.56
"Saline, AR",05125,730.5,730.46,725.09,724.76,723.46,723.6,5.74,7
"Scott, AR",05127,898.15,898.09,896.48,893.94,893.88,892.32,4.21,4.21
"Searcy, AR",05129,668.56,668.51,668.02,667.2,667.15,666.1,1.36,1.36
"Sebastian, AR",05131,546.07,546.04,534.9,536.37,536.24,531.91,9.7,9.79
"Sevier, AR",05133,581.38,581.35,560.16,563.97,563.94,565.13,17.41,17.41
"Sharp, AR",05135,606.39,606.35,606.14,604.4,604.35,604.44,1.99,1.99
"Stone, AR",05137,609.47,609.43,605.93,606.63,606.59,606.41,2.84,2.84
"Union, AR",05139,1055.36,1055.27,1053.17,1038.99,1038.9,1039.21,16.37,16.37
"Van Buren, AR",05141,724.36,724.32,709.33,711.56,711.51,708.14,12.8,12.81
"Washington, AR",05143,956.07,956.01,950.81,950.24,949.72,941.97,5.83,6.29
"White, AR",05145,1042.43,1042.36,1040.08,1034.15,1034.03,1035.08,8.28,8.33
"Woodruff, AR",05147,594.09,594.05,591.81,586.6,586.56,586.79,7.49,7.49
"Yell, AR",05149,948.89,948.84,930.34,927.89,927.89,929.98,21,20.95
CALIFORNIA,06000,163707.15,163695.57,156299.01,155973.09,155959.34,155779.22,7734.06,7736.23
"Alameda, CA",06001,821.26,821.15,736.36,737.5,737.57,739.02,83.76,83.57
"Alpine, CA",06003,743.23,743.19,738.42,738.66,738.62,738.33,4.57,4.57
"Amador, CA",06005,604.26,604.69,589.29,592.56,592.97,594.58,11.7,11.73
"Butte, CA",06007,1677.22,1677.11,1646.46,1639.6,1639.49,1636.46,37.62,37.62
"Calaveras, CA",06009,1036.92,1036.84,1021.19,1020.18,1020.04,1020.01,16.74,16.81
"Colusa, CA",06011,1156.32,1156.22,1152.38,1150.77,1150.68,1150.73,5.55,5.54
"Contra Costa, CA",06013,802.18,802.15,729.63,720.29,719.95,715.94,81.89,82.2
"Del Norte, CA",06015,1229.84,1229.75,1006.7,1007.89,1007.81,1006.37,221.95,221.94
"El Dorado, CA",06017,1791.29,1788.1,1715.26,1711.48,1710.85,1707.88,79.81,77.25
"Fresno, CA",06019,6017.89,6017.42,5977.78,5963.21,5962.73,5957.99,54.68,54.7
"Glenn, CA",06021,1327.25,1327.16,1319.37,1314.89,1314.79,1313.95,12.36,12.36
"Humboldt, CA",06023,4052.52,4052.22,3579.11,3572.79,3572.49,3567.99,479.73,479.74
"Imperial, CA",06025,4482.08,4481.73,4173.13,4175.05,4174.73,4176.6,307.03,307
"Inyo, CA",06027,10227.75,10226.98,10223.05,10192.07,10203.1,10180.88,35.68,23.88
"Kern, CA",06029,8162.03,8161.42,8129.81,8141.6,8140.96,8131.92,20.43,20.46
"Kings, CA",06031,1391.58,1391.49,1391.75,1389.48,1390.99,1389.42,2.1,0.5
"Lake, CA",06033,1329.59,1329.48,1262.29,1258.47,1257.96,1256.46,71.12,71.52
"Lassen, CA",06035,4720.61,4720.37,4552.53,4557.49,4557.27,4541.18,163.12,163.1
"Los Angeles, CA",06037,4752.32,4752.32,4070.11,4059.97,4060.87,4057.88,692.35,691.45
"Madera, CA",06039,2153.39,2153.32,2144.8,2138.43,2135.86,2137.07,14.96,17.46
"Marin, CA",06041,828.22,828.2,522.73,519.78,519.8,520.31,308.44,308.39
"Mariposa, CA",06043,1462.89,1462.79,1456.02,1451.21,1451.12,1448.82,11.68,11.67
"Mendocino, CA",06045,3878.5,3878.14,3512.11,3509.28,3508.97,3506.34,369.22,369.17
"Merced, CA",06047,1972.02,1971.87,1944.47,1928.89,1928.69,1934.97,43.13,43.18
"Modoc, CA",06049,4203.62,4203.37,4064.37,3944.36,3944.1,3917.77,259.26,259.28
"Mono, CA",06051,3131.89,3131.8,3018.33,3044.48,3044.4,3048.98,87.41,87.4
"Monterey, CA",06053,3771.11,3771.07,3303.09,3321.95,3321.95,3280.6,449.16,449.12
"Napa, CA",06055,788.34,788.27,744.16,753.86,753.73,748.36,34.48,34.53
"Nevada, CA",06057,974.54,974.49,960.23,957.66,957.61,957.77,16.88,16.88
"Orange, CA",06059,947.91,947.98,797.84,789.68,789.4,790.57,158.23,158.57
"Placer, CA",06061,1500.24,1502.78,1416.07,1404.41,1404.37,1407.01,95.83,98.41
"Plumas, CA",06063,2613.75,2613.48,2572.77,2553.96,2553.69,2553.04,59.79,59.78
"Riverside, CA",06065,7303.81,7303.13,7214.03,7208.15,7207.37,7206.48,95.66,95.76
"Sacramento, CA",06067,995.65,995.48,971.35,965.69,965.65,964.64,29.96,29.83
"San Benito, CA",06069,1390.81,1390.73,1387.98,1389.13,1389.06,1388.71,1.68,1.68
"San Bernardino, CA",06071,20106.39,20105.32,20064.44,20061.78,20052.5,20056.94,44.61,52.82
"San Diego, CA",06073,4525.92,4525.52,4211.6,4204.48,4199.89,4206.63,321.44,325.62
"San Francisco, CA",06075,231.89,231.92,46.39,46.7,46.69,46.87,185.19,185.22
"San Joaquin, CA",06077,1426.37,1426.25,1415.19,1399.44,1399.28,1391.32,26.93,26.97
"San Luis Obispo, CA",06079,3615.73,3615.54,3308.12,3304.5,3304.32,3298.57,311.23,311.22
"San Mateo, CA",06081,741.07,741.01,446.6,449.11,449.07,448.41,291.96,291.95
"Santa Barbara, CA",06083,3789.56,3789.08,2747.95,2738.46,2737.01,2735.09,1051.1,1052.07
"Santa Clara, CA",06085,1304.53,1304.01,1292.99,1291.22,1290.69,1290.1,13.31,13.32
"Santa Cruz, CA",06087,607.72,607.16,446.48,445.79,445.24,445.17,161.93,161.92
"Shasta, CA",06089,3847.61,3847.44,3786.17,3785.66,3785.19,3775.4,61.95,62.24
"Sierra, CA",06091,962.03,961.97,959.14,953.44,953.38,953.21,8.59,8.59
"Siskiyou, CA",06093,6347.81,6347.46,6280.73,6287.25,6286.78,6277.89,60.56,60.68
"Solano, CA",06095,906.85,906.67,834.4,828.17,829.19,821.77,78.68,77.48
"Sonoma, CA",06097,1768.35,1768.23,1603.89,1576.21,1575.88,1575.85,192.14,192.35
"Stanislaus, CA",06099,1514.8,1514.67,1506.21,1494.56,1493.79,1494.83,20.24,20.88
"Sutter, CA",06101,608.86,608.58,601.92,602.7,602.54,602.41,6.16,6.04
"Tehama, CA",06103,2962.3,2962.27,2953.31,2951.04,2950.99,2949.71,11.26,11.28
"Trinity, CA",06105,3207.79,3207.54,3189.73,3178.86,3178.61,3179.25,28.93,28.93
"Tulare, CA",06107,4839.41,4839.09,4808.38,4824.33,4823.97,4824.22,15.08,15.12
"Tuolumne, CA",06109,2274.52,2274.34,2233.75,2235.65,2235.41,2220.88,38.87,38.93
"Ventura, CA",06111,2208.36,2208.2,1862.16,1845.95,1845.3,1843.13,362.41,362.9
"Yolo, CA",06113,1022.87,1022.89,1014.26,1012.44,1013.27,1014.69,10.43,9.62
"Yuba, CA",06115,643.55,643.73,640.23,630.45,630.69,631.84,13.1,13.04
COLORADO,08000,104100.32,104093.57,103594.84,103729.54,103717.53,103641.89,370.78,376.04
"Adams, CO",08001,1197.83,1197.71,1234.76,1192.02,1191.93,1167.65,5.81,5.78
"Alamosa, CO",08003,723.59,723.53,719.2,722.81,722.74,722.64,0.78,0.78
"Arapahoe, CO",08005,805.47,805.43,800.03,803.17,803.14,798.1,2.3,2.29
"Archuleta, CO",08007,1354.65,1355.48,1352.6,1349.39,1350.22,1350.18,5.26,5.26
"Baca, CO",08009,2557.24,2557.09,2553.72,2555.87,2555.72,2554.97,1.37,1.37
"Bent, CO",08011,1541.25,1541.12,1517.21,1514.03,1513.9,1512.86,27.22,27.22
"Boulder, CO",08013,751.4,751.37,742.29,742.46,742.46,726.29,8.94,8.91
"Broomfield, CO",08014,0,0,0,0,0,33.03,0,0
"Chaffee, CO",08015,1015.07,1015.01,1007.7,1013.52,1013.45,1013.4,1.55,1.55
"Cheyenne, CO",08017,1781.5,1781.37,1782.77,1781.48,1781.35,1778.28,0.02,0.02
"Clear Creek, CO",08019,396.47,396.46,396.33,395.46,395.45,395.23,1.01,1.01
"Conejos, CO",08021,1290.99,1290.87,1284.41,1287.34,1287.22,1287.39,3.65,3.65
"Costilla, CO",08023,1230.55,1230.44,1226.93,1227.21,1227.1,1226.95,3.34,3.34
"Crowley, CO",08025,800.38,800.33,789.62,789.04,788.99,787.42,11.34,11.34
"Custer, CO",08027,739.95,739.9,740.04,738.93,738.89,738.63,1.02,1.02
"Delta, CO",08029,1148.61,1148.52,1141.19,1142.21,1142.11,1142.05,6.4,6.42
"Denver, CO",08031,154.88,154.94,110.6,153.28,153.35,153,1.6,1.59
"Dolores, CO",08033,1068.14,1068.09,1064.12,1067.01,1066.97,1067.05,1.13,1.13
"Douglas, CO",08035,842.81,842.75,841.04,840.17,840.11,840.25,2.64,2.64
"Eagle, CO",08037,1691.89,1691.8,1689.73,1687.96,1687.88,1684.53,3.93,3.93
"Elbert, CO",08039,1851.01,1850.89,1851.2,1850.9,1850.78,1850.85,0.11,0.11
"El Paso, CO",08041,2129.71,2129.56,2128.88,2126.69,2126.45,2126.8,3.02,3.11
"Fremont, CO",08043,1534.06,1533.95,1537.91,1533.04,1532.93,1533.07,1.02,1.02
"Garfield, CO",08045,2956.08,2955.76,2951.64,2947.49,2947.06,2947.56,8.59,8.7
"Gilpin, CO",08047,150.26,150.25,149.39,149.87,149.87,149.9,0.39,0.39
"Grand, CO",08049,1869.7,1869.6,1854.08,1849.76,1846.67,1846.33,19.94,22.93
"Gunnison, CO",08051,3259.94,3259.75,3237.76,3239.01,3238.81,3239.1,20.93,20.93
"Hinsdale, CO",08053,1123.22,1123.14,1115.39,1117.76,1117.68,1117.25,5.46,5.46
"Huerfano, CO",08055,1593.36,1593.24,1583.57,1590.99,1590.87,1591,2.37,2.38
"Jackson, CO",08057,1621.05,1620.95,1614.47,1613.31,1613.21,1613.72,7.74,7.74
"Jefferson, CO",08059,778.2,778.06,767.89,772.23,772.09,764.21,5.97,5.97
"Kiowa, CO",08061,1785.87,1785.76,1758.21,1771.11,1770.99,1767.77,14.76,14.76
"Kit Carson, CO",08063,2161.71,2161.56,2160.22,2161.02,2160.87,2160.82,0.69,0.69
"Lake, CO",08065,383.93,383.9,379.24,376.92,376.89,376.91,7.01,7.01
"La Plata, CO",08067,1700.03,1699.93,1691.72,1692.29,1692.15,1692.08,7.74,7.78
"Larimer, CO",08069,2634,2633.86,2604.09,2601.44,2601.3,2596,32.56,32.56
"Las Animas, CO",08071,4775.74,4775.42,4770.61,4772.96,4772.63,4772.67,2.78,2.79
"Lincoln, CO",08073,2586.56,2586.39,2586.05,2586.26,2586.09,2577.63,0.3,0.3
"Logan, CO",08075,1844.96,1844.86,1818.4,1838.63,1838.52,1838.55,6.33,6.33
"Mesa, CO",08077,3341.28,3341.11,3309.11,3327.92,3327.75,3328.97,13.36,13.36
"Mineral, CO",08079,877.82,877.7,877.24,875.83,875.72,875.67,1.99,1.99
"Moffat, CO",08081,4751.21,4750.94,4731.71,4742.52,4742.25,4743.29,8.69,8.69
"Montezuma, CO",08083,2040.08,2039.97,2038.31,2036.94,2036.63,2029.53,3.14,3.34
"Montrose, CO",08085,2242.71,2242.57,2240.21,2240.75,2240.61,2240.7,1.96,1.96
